Accession	host_sci_name	gb_pubmed_id	Segment	strain	gb_length	patent_related	m49_country
AF181853	-	10888638	-	LP	3390	-	-
AF181854	-	10888638	-	803213	3372	-	-
AF182219	-	10888638	-	las803213	628	-	-
AF182220	-	10888638	-	las803214	628	-	-
AF182221	-	10888638	-	las806316	628	-	-
AF182222	-	10888638	-	las808031	631	-	-
AF182223	-	10888638	-	las806320	628	-	-
AF182224	-	10888638	-	las806319	628	-	-
AF182225	-	10888638	-	las806321	631	-	-
AF182226	-	10888638	-	las806322	631	-	-
AF182227	-	10888638	-	las803787	628	-	-
AF182228	-	10888638	-	las806791	628	-	-
AF182229	-	10888638	-	las803210	628	-	-
AF182230	-	10888638	-	las803212	628	-	-
AF182231	-	10888638	-	las807975	631	-	-
AF182232	-	10888638	-	las803208	628	-	-
AF182233	-	10888638	-	las802662	628	-	-
AF182234	-	10888638	-	las801618	631	-	-
AF182235	-	10888638	-	las803205	628	-	-
AF182236	-	10888638	-	las803209	628	-	-
AF182237	-	10888638	-	las9607290	628	-	-
AF182238	-	10888638	-	las806827	628	-	-
AF182239	-	10888638	-	las801105	631	-	-
AF182240	-	10888638	-	las801107	631	-	-
AF182241	-	10888638	-	las801104	631	-	-
AF182242	-	10888638	-	las801106	631	-	-
AF182243	-	10888638	-	las801109	631	-	-
AF182244	-	10888638	-	las801108	631	-	-
AF182245	-	10888638	-	las807875	628	-	-
AF182246	-	10888638	-	las807976	631	-	-
AF182247	-	10888638	-	las803211	628	-	-
AF182248	-	10888638	-	las801101	631	-	-
AF182249	-	10888638	-	las801103	631	-	-
AF182250	-	10888638	-	las803206	628	-	-
AF182251	-	10888638	-	las801102	631	-	-
AF182252	-	10888638	-	las9607300	628	-	-
AF182253	-	10888638	-	las801100	631	-	-
AF182254	-	10888638	-	las806843	628	-	-
AF182255	-	10888638	-	las9607302	628	-	-
AF182256	-	10888638	-	las803972	631	-	-
AF182257	-	10888638	-	las807974	628	-	-
AF182258	-	10888638	-	las803204	628	-	-
AF182259	-	10888638	-	las803201	631	-	-
AF182260	-	10888638	-	las803792	631	-	-
AF182261	-	10888638	-	las806828	628	-	-
AF182262	-	10888638	-	las803791	631	-	-
AF182263	-	10888638	-	las803793	631	-	-
AF182264	-	10888638	-	las806829	628	-	-
AF182265	-	10888638	-	las807998	631	-	-
AF182266	-	10888638	-	las803203	628	-	-
AF182267	-	10888638	-	las807992	631	-	-
AF182268	-	10888638	-	las807977	631	-	-
AF182269	-	10888638	-	las807868	631	-	-
AF182270	-	10888638	-	las808255	631	-	-
AF182271	-	10888638	-	las803796	631	-	-
AF182272	-	10888638	-	las9608911	628	-	-
AF246121	-	10998376	-	AV	3391	-	-
AF333969	-	11443561	-	CSF	3367	-	-
AH012598	-	14972544	L	CSF	7226	-	-
AJ310764	-	-	-	-	286	-	SLE
AJ969404	Mastomys sp.	7883875	-	-	743	-	SLE
AJ969405	Homo sapiens	7883875	-	-	611	-	NGA
AJ969406	Mastomys sp	7883875	-	-	612	-	LBR
AJ969407	Homo sapiens	7883875	-	-	737	-	NGA
AJ969408	Homo sapiens	7883875	-	-	553	-	NGA
AJ969409	Homo sapiens	7883875	-	-	628	-	NGA
AY179171	-	14972544	L	AV	7227	-	-
AY179172	-	14972544	L	NL	7250	-	-
AY179173	-	14972544	S	NL	3364	-	-
AY216508	-	14698659	-	Josiah	309	-	-
AY363905	-	17905372	L	SL620	805	-	-
AY363906	-	17905372	L	SL15	805	-	-
AY363907	-	17905372	L	SL20	805	-	-
AY363908	-	17905372	L	SL21	805	-	-
AY363909	-	17905372	L	SL25	805	-	-
AY363910	-	17905372	L	SL26	805	-	-
AY628200	-	-	L	Macenta	7280	-	-
AY628201	-	-	S	Macenta	3399	-	-
AY628202	-	-	L	Josiah	7285	-	-
AY628203	-	-	S	Josiah	3402	-	-
AY628204	-	-	L	Z148	7280	-	-
AY628205	-	-	S	Z148	3396	-	-
AY628206	-	-	S	Weller	3420	-	-
AY628207	-	-	S	Pinneo	3428	-	-
AY628208	-	-	S	Acar 3080	3427	-	-
AY693637	-	17905372	L	Nig04-010	781	-	NGA
AY693638	-	17905372	L	las803792	794	-	LBR
AY693639	-	17905372	L	las806791	804	-	NGA
AY693640	-	17905372	L	las803213	756	-	NGA
AY870334	-	17905372	-	Lib04-2739	746	-	LBR
CS272332	-	-	-	-	1476	TRUE	-
CS805355	-	-	-	-	1497	TRUE	-
DI160217	-	-	-	-	351	TRUE	-
DL138934	-	-	-	-	7279	TRUE	-
DL138935	-	-	-	-	3402	TRUE	-
DL143807	-	-	-	-	351	TRUE	-
DQ010030	-	16355508	S	Nig04-02	299	-	NGA
DQ010031	-	16355508	S	Nig04-010	299	-	NGA
DQ832667	-	17326956	-	-	628	-	GIN
DQ832668	-	17326956	-	-	628	-	GIN
DQ832669	-	17326956	-	-	628	-	GIN
DQ832670	-	17326956	-	-	628	-	GIN
DQ832671	-	17326956	-	-	628	-	GIN
DQ832672	-	17326956	-	-	628	-	GIN
DQ832673	-	17326956	-	-	628	-	GIN
DQ832674	-	17326956	-	-	628	-	GIN
DQ832675	-	17326956	-	-	628	-	GIN
DQ832676	-	17326956	-	-	628	-	GIN
DQ832677	-	17326956	-	-	628	-	GIN
DQ832678	-	17326956	-	-	628	-	GIN
DQ832679	-	17326956	-	-	628	-	GIN
DQ832680	-	17326956	-	-	628	-	GIN
DQ832681	-	17326956	-	-	576	-	GIN
DQ832682	-	17326956	-	-	628	-	GIN
DQ832683	-	17326956	-	-	628	-	GIN
DQ832684	-	17326956	-	-	628	-	GIN
DQ832685	-	17326956	-	-	628	-	GIN
DQ832686	-	17326956	-	-	628	-	GIN
DQ832687	-	17326956	-	-	628	-	GIN
DQ832688	-	17326956	-	-	628	-	GIN
DQ832689	-	17326956	-	-	628	-	GIN
DQ832690	-	17326956	-	-	628	-	GIN
DQ832691	-	17326956	-	-	628	-	GIN
DQ832692	-	17326956	-	-	628	-	GIN
DQ832693	-	17326956	-	-	628	-	GIN
DQ832694	-	17326956	-	-	628	-	GIN
DQ832695	-	17326956	-	-	628	-	GIN
DQ832696	-	17326956	-	-	628	-	GIN
DQ832697	-	17326956	-	-	628	-	GIN
DQ832698	-	17326956	-	-	628	-	GIN
DQ832699	-	17326956	-	-	628	-	GIN
FJ824031	Homo sapiens	-	-	-	873	-	MLI
FR832710	-	21880754	-	AV	7267	-	-
FR832711	-	21880754	-	AV	3392	-	-
FV537334	-	-	-	-	7279	TRUE	-
FV537335	-	-	-	-	7279	TRUE	-
FV537336	-	-	-	-	7279	TRUE	-
FV537337	-	-	-	-	7279	TRUE	-
FV537338	-	-	-	-	3402	TRUE	-
FV537339	-	-	-	-	3402	TRUE	-
FV537340	-	-	-	-	3402	TRUE	-
GN354234	-	-	-	-	60	TRUE	-
GN354235	-	-	-	-	60	TRUE	-
GN354236	-	-	-	-	60	TRUE	-
GN354237	-	-	-	-	60	TRUE	-
GN354238	-	-	-	-	60	TRUE	-
GN354239	-	-	-	-	60	TRUE	-
GN354240	-	-	-	-	60	TRUE	-
GN354241	-	-	-	-	60	TRUE	-
GN354242	-	-	-	-	60	TRUE	-
GN354243	-	-	-	-	60	TRUE	-
GU481056	Homo sapiens	20507773	S	Nig05-043	299	-	NGA
GU481057	Homo sapiens	20507773	L	Nig05-043	340	-	NGA
GU481058	Homo sapiens	20507773	S	Nig05-SE40	299	-	NGA
GU481059	Homo sapiens	20507773	L	Nig05-SE40	340	-	NGA
GU481060	Homo sapiens	20507773	S	Nig07-05	281	-	NGA
GU481061	Homo sapiens	20507773	S	Nig07-05	613	-	NGA
GU481062	Homo sapiens	20507773	L	Nig07-05	340	-	NGA
GU481063	Homo sapiens	20507773	S	Nig08-02	916	-	NGA
GU481064	Homo sapiens	20507773	S	Nig08-02	613	-	NGA
GU481065	Homo sapiens	20507773	L	Nig08-02	340	-	NGA
GU481066	Homo sapiens	20507773	S	Nig08-03	282	-	NGA
GU481067	Homo sapiens	20507773	L	Nig08-03	340	-	NGA
GU481068	Homo sapiens	20507773	S	Nig08-04	3377	-	NGA
GU481069	Homo sapiens	20507773	L	Nig08-04	7230	-	NGA
GU481070	Homo sapiens	20507773	S	Nig08-A18	3382	-	NGA
GU481071	Homo sapiens	20507773	L	Nig08-A18	7198	-	NGA
GU481072	Homo sapiens	20507773	S	Nig08-A19	3383	-	NGA
GU481073	Homo sapiens	20507773	L	Nig08-A19	7188	-	NGA
GU481074	Homo sapiens	21191050	S	Nig08-A37	3375	-	NGA
GU481075	Homo sapiens	21191050	L	Nig08-A37	7226	-	NGA
GU481076	Homo sapiens	21191050	S	Nig08-A41	3374	-	NGA
GU481077	Homo sapiens	21191050	L	Nig08-A41	7225	-	NGA
GU481078	Homo sapiens	21191050	S	Nig08-A47	3374	-	NGA
GU481079	Homo sapiens	21191050	L	Nig08-A47	7226	-	NGA
GU573541	Mastomys natalensis	20587185	L	Soromba R	754	-	MLI
GU573542	Mastomys natalensis	20587185	L	Soromba R	754	-	MLI
GU573543	Mastomys natalensis	20587185	L	Soromba R	754	-	MLI
GU573544	Mastomys natalensis	20587185	L	Soromba R	754	-	MLI
GU573545	Mastomys natalensis	20587185	L	Soromba R	754	-	MLI
GU573546	Mastomys natalensis	20587185	L	Soromba R	754	-	MLI
GU573547	Mastomys natalensis	20587185	S	Soromba R	771	-	MLI
GU573548	Mastomys natalensis	20587185	S	Soromba R	771	-	MLI
GU573549	Mastomys natalensis	20587185	S	Soromba R	771	-	MLI
GU573550	Mastomys natalensis	20587185	S	Soromba R	771	-	MLI
GU573551	Mastomys natalensis	20587185	S	Soromba R	771	-	MLI
GU573552	Mastomys natalensis	20587185	S	Soromba R	771	-	MLI
GU830812	Homo sapiens	20351210	S	Lib04-2739	937	-	LBR
GU830813	Homo sapiens	20351210	S	Lib05-236/88	475	-	LBR
GU830814	Homo sapiens	20351210	S	Lib05-406/90	1231	-	LBR
GU830815	Homo sapiens	20351210	S	Lib05-1580/121	920	-	LBR
GU830816	Homo sapiens	20351210	S	Lib05-2096/127	930	-	LBR
GU830817	Homo sapiens	20351210	S	Lib05-2406/129	1235	-	LBR
GU830818	Homo sapiens	20351210	S	Lib05-3800	1233	-	LBR
GU830819	Homo sapiens	20351210	S	Lib05-4094	1238	-	LBR
GU830820	Homo sapiens	20351210	S	Lib06-120	1208	-	LBR
GU830821	Homo sapiens	20351210	S	Lib06-174	1236	-	LBR
GU830822	Homo sapiens	20351210	S	Lib06-295	1228	-	LBR
GU830823	Homo sapiens	20351210	S	Lib06-383	1224	-	LBR
GU830824	Homo sapiens	20351210	S	Lib06-1099	876	-	LBR
GU830825	Homo sapiens	20351210	S	Lib06-1101	825	-	LBR
GU830826	Homo sapiens	20351210	S	Lib06-1826	905	-	LBR
GU830827	Homo sapiens	20351210	S	Lib06-2442	893	-	LBR
GU830828	Homo sapiens	20351210	S	Lib07-29	869	-	LBR
GU830829	Homo sapiens	20351210	S	Lib07-30	868	-	LBR
GU830830	Homo sapiens	20351210	S	Lib07-54	893	-	LBR
GU830831	Homo sapiens	20351210	S	Lib07-55	893	-	LBR
GU830832	Homo sapiens	20351210	S	Lib07-56	894	-	LBR
GU830833	Homo sapiens	20351210	S	Lib07-206	903	-	LBR
GU830834	Homo sapiens	20351210	S	Lib07-444	907	-	LBR
GU830835	Homo sapiens	20351210	S	Lib07-515	904	-	LBR
GU830836	Homo sapiens	20351210	S	Lib07-612	913	-	LBR
GU830837	Homo sapiens	20351210	S	Lib07-624	903	-	LBR
GU830838	Mastomys natalensis	20351210	S	BA289	904	-	GIN
GU830839	Mastomys natalensis	20351210	S	BA366	3358	-	GIN
GU830840	Mastomys natalensis	20351210	S	BA377	903	-	GIN
GU830841	Mastomys natalensis	20351210	S	BA384	895	-	GIN
GU830842	Mastomys natalensis	20351210	S	DGD43	899	-	GIN
GU830843	Mastomys natalensis	20351210	S	TA491	907	-	GIN
GU979503	Homo sapiens	21191050	S	SL26	290	-	SLE
GU979504	Homo sapiens	21191050	S	SL25	290	-	SLE
GU979505	Homo sapiens	21191050	S	SL21	290	-	SLE
GU979506	Homo sapiens	21191050	S	SL15	290	-	SLE
GU979507	Homo sapiens	21191050	L	SL06-2057	340	-	SLE
GU979508	Homo sapiens	21191050	S	SL06-2057	907	-	SLE
GU979509	Homo sapiens	21191050	L	Lib05-2406/129	480	-	LBR
GU979510	Homo sapiens	21191050	L	Lib05-2096/127	575	-	LBR
GU979511	Homo sapiens	21191050	L	Lib05-1580/121	451	-	LBR
GU979512	Homo sapiens	21191050	L	Lib05-236/88	478	-	LBR
GU979513	Mastomys natalensis	21191050	L	BA366	7207	-	GIN
HM143866	Homo sapiens	21191050	S	Nig05-A08	237	-	NGA
HM143867	Homo sapiens	21191050	S	Nig07-A09	234	-	NGA
HM143868	Homo sapiens	21191050	S	Nig07-A14	234	-	NGA
HM143870	Homo sapiens	21191050	S	Nig08-A34	234	-	NGA
HM143871	Homo sapiens	21191050	S	Nig08-A40	234	-	NGA
HM143872	Homo sapiens	21191050	S	Nig08-A45	234	-	NGA
HM143873	Homo sapiens	21191050	S	Nig08-A53	234	-	NGA
HM143874	Homo sapiens	21191050	S	Nig08-A55	234	-	NGA
HM143875	Homo sapiens	21191050	S	Nig08-A57	234	-	NGA
HM143876	Homo sapiens	21191050	S	Nig08-A61	234	-	NGA
HM143877	Homo sapiens	21191050	S	Nig08-A64	234	-	NGA
HM143878	Homo sapiens	21191050	S	Nig08-A72	234	-	NGA
HM143879	Homo sapiens	21191050	S	Nig07-A76	234	-	NGA
HM143880	Homo sapiens	21191050	S	Nig08-A77	234	-	NGA
HM143881	Homo sapiens	21191050	S	Nig08-A80	234	-	NGA
HQ688672	-	21307206	S	Josiah	3401	-	-
HQ688673	-	21307206	S	recombinant Josiah	3401	-	-
HQ688674	-	21307206	L	Josiah	7285	-	-
HQ688675	-	21307206	L	recombinant Josiah	7285	-	-
HV540186	-	-	-	-	351	TRUE	-
J04324	-	2916333	-	-	3402	-	-
JB048532	-	-	-	-	300	TRUE	-
JB048540	-	-	-	-	1710	TRUE	-
JB048543	-	-	-	-	1476	TRUE	-
JC241991	-	-	-	-	1476	TRUE	-
JN650517	Homo sapiens	-	S	Josiah	3399	-	SLE
JN650518	Homo sapiens	-	L	Josiah	7274	-	SLE
JN651366	Homo sapiens	23029594	S	Nig08-110	234	-	NGA
JN651367	Homo sapiens	23029594	S	Nig08-147	234	-	NGA
JN651368	Homo sapiens	23029594	S	Nig08-149	234	-	NGA
JN651369	Homo sapiens	23029594	S	Nig09-025	234	-	NGA
JN651370	Homo sapiens	23029594	S	Nig09-045	237	-	NGA
JN651371	Homo sapiens	23029594	S	Nig09-065	234	-	NGA
JN651372	Homo sapiens	23029594	S	Nig09-066	234	-	NGA
JN651373	Homo sapiens	23029594	S	Nig09-070	234	-	NGA
JN651374	Homo sapiens	23029594	S	Nig09-072	234	-	NGA
JN651375	Homo sapiens	23029594	S	Nig09-073	234	-	NGA
JN651376	Homo sapiens	23029594	S	Nig09-094	234	-	NGA
JN651377	Homo sapiens	23029594	S	Nig09-163	234	-	NGA
JN651378	Homo sapiens	23029594	S	Nig09-168	234	-	NGA
JN651379	Homo sapiens	23029594	S	Nig09-196	234	-	NGA
JN651380	Homo sapiens	23029594	S	Nig09-206	234	-	NGA
JN651381	Homo sapiens	23029594	S	Nig09-244	234	-	NGA
JN651382	Homo sapiens	23029594	S	Nig09-300	234	-	NGA
JN651383	Homo sapiens	23029594	S	Nig09-453	234	-	NGA
JN651384	Homo sapiens	23029594	S	Nig09-537	234	-	NGA
JN651385	Homo sapiens	23029594	S	Nig09-570	234	-	NGA
JN651386	Homo sapiens	23029594	S	Nig09-578	234	-	NGA
JN651387	Homo sapiens	23029594	S	Nig09-628	234	-	NGA
JN651388	Homo sapiens	23029594	S	Nig09-752	234	-	NGA
JN651389	Homo sapiens	23029594	S	Nig09-822	234	-	NGA
JN651390	Homo sapiens	23029594	S	Nig09-837	234	-	NGA
JN651391	Homo sapiens	23029594	S	Nig10-053	234	-	NGA
JN651392	Homo sapiens	23029594	S	Nig10-089	234	-	NGA
JN651393	Homo sapiens	23029594	S	Nig10-433	234	-	NGA
JN651394	Homo sapiens	23029594	S	Nig10-497	234	-	NGA
JN651395	Homo sapiens	23029594	S	Nig10-838	234	-	NGA
JN651396	Homo sapiens	23029594	S	Nig11-009	234	-	NGA
JN651397	Homo sapiens	23029594	S	Nig11-098	234	-	NGA
JN651398	Homo sapiens	23029594	S	Nig11-106	234	-	NGA
JN651399	Homo sapiens	23029594	S	Nig11-186	234	-	NGA
JN651400	Homo sapiens	23029594	S	Nig11-205	234	-	NGA
JQ511991	Homo sapiens	22594713	S	Nig08-MO	281	-	NGA
JQ511992	Homo sapiens	22594713	S	Nig08-EO4	281	-	NGA
JX845167	Mus baoulei	24188212	-	-	339	-	GHA
JX845169	Mus baoulei	24188212	-	-	1752	-	GHA
JX845171	Mus baoulei	24188212	-	-	949	-	GHA
K03362	-	3840620	-	-	1830	-	-
KF425246	Mastomys sp.	-	-	Macenta	297	-	GHA
KF478760	Mastomys natalensis	24340119	L	Komina-R16	7306	-	MLI
KF478761	Mastomys natalensis	24340119	L	Bamba-R114	7282	-	MLI
KF478762	Mastomys natalensis	24340119	L	Soromba-R	7253	-	MLI
KF478763	Mastomys natalensis	24340119	L	Soromba-R30	6880	-	MLI
KF478764	Mastomys natalensis	24340119	L	Ouoma-R123	6811	-	MLI
KF478765	Mastomys natalensis	24340119	S	Soromba-R	3571	-	MLI
KF478766	Mastomys natalensis	24340119	S	Bamba-R114	3561	-	MLI
KF478767	Mastomys natalensis	24340119	S	Komina-R16	3421	-	MLI
KF478768	Mastomys natalensis	24340119	S	Ouoma-R123	3410	-	MLI
KF478769	Mastomys natalensis	24340119	S	Soromba-R30	3364	-	MLI
KF926390	Homo sapiens	-	-	-	912	-	SLE
KJ944259	Homo sapiens	-	S	Nig13-00402 (ENUG)	310	-	NGA
KJ944260	Homo sapiens	-	S	Nig13-00103 (EBON)	311	-	NGA
KJ944261	Homo sapiens	-	S	Nig13-00108 (LAG)	309	-	NGA
KM406518	Mastomys natalensis	-	-	-	621	-	SLE
KM406519	Mastomys natalensis	-	-	-	621	-	SLE
KM406520	Mastomys natalensis	-	-	-	621	-	SLE
KM406521	Mastomys natalensis	-	-	-	621	-	SLE
KM406522	Mastomys natalensis	-	-	-	621	-	SLE
KM406523	Mastomys natalensis	-	-	-	621	-	SLE
KM406524	Mastomys natalensis	-	-	-	621	-	SLE
KM406525	Mastomys natalensis	-	-	-	621	-	SLE
KM406526	Mastomys natalensis	-	-	-	621	-	SLE
KM406527	Mastomys natalensis	-	-	-	621	-	SLE
KM406528	Mastomys natalensis	-	-	-	621	-	SLE
KM406529	Mastomys natalensis	-	-	-	621	-	SLE
KM406530	Mastomys natalensis	-	-	-	621	-	SLE
KM406531	Mastomys natalensis	-	-	-	621	-	SLE
KM406532	Mastomys natalensis	-	-	-	621	-	SLE
KM406533	Mastomys natalensis	-	-	-	621	-	SLE
KM406534	Mastomys natalensis	-	-	-	621	-	SLE
KM406535	Mastomys natalensis	-	-	-	621	-	SLE
KM406536	Mastomys natalensis	-	-	-	621	-	SLE
KM406537	Mastomys natalensis	-	-	-	621	-	SLE
KM406538	Mastomys natalensis	-	-	-	621	-	SLE
KM406539	Mastomys natalensis	-	-	-	621	-	SLE
KM406540	Mastomys natalensis	-	-	-	621	-	SLE
KM406541	Mastomys natalensis	-	-	-	621	-	SLE
KM406542	Mastomys natalensis	-	-	-	621	-	SLE
KM406543	Mastomys natalensis	-	-	-	621	-	SLE
KM406544	Mastomys natalensis	-	-	-	621	-	SLE
KM406545	Mastomys natalensis	-	-	-	621	-	SLE
KM406546	Mastomys natalensis	-	-	-	621	-	SLE
KM406547	Mastomys natalensis	-	-	-	621	-	SLE
KM406548	Mastomys natalensis	-	-	-	621	-	SLE
KM406549	Mastomys natalensis	-	-	-	621	-	SLE
KM406550	Mastomys natalensis	-	-	-	621	-	SLE
KM406551	Mastomys natalensis	-	-	-	621	-	SLE
KM406552	Mastomys natalensis	-	-	-	621	-	SLE
KM406553	Mastomys natalensis	-	-	-	621	-	SLE
KM406554	Mastomys natalensis	-	-	-	621	-	SLE
KM406555	Mastomys natalensis	-	-	-	621	-	SLE
KM406556	Mastomys natalensis	-	-	-	621	-	SLE
KM406557	Mastomys natalensis	-	-	-	373	-	SLE
KM406558	Mastomys natalensis	-	-	-	373	-	SLE
KM406559	Mastomys natalensis	-	-	-	373	-	SLE
KM406560	Mastomys natalensis	-	-	-	373	-	SLE
KM406561	Mastomys natalensis	-	-	-	373	-	SLE
KM406562	Mastomys natalensis	-	-	-	373	-	SLE
KM406563	Mastomys natalensis	-	-	-	373	-	SLE
KM406564	Mastomys natalensis	-	-	-	373	-	SLE
KM406565	Mastomys natalensis	-	-	-	373	-	SLE
KM406566	Mastomys natalensis	-	-	-	373	-	SLE
KM406567	Mastomys natalensis	-	-	-	373	-	SLE
KM406568	Mastomys natalensis	-	-	-	373	-	SLE
KM406569	Mastomys natalensis	-	-	-	373	-	SLE
KM406570	Mastomys natalensis	-	-	-	373	-	SLE
KM406571	Mastomys natalensis	-	-	-	373	-	SLE
KM406572	Mastomys natalensis	-	-	-	373	-	SLE
KM406573	Mastomys natalensis	-	-	-	373	-	SLE
